phrase	pos	var	phrase_ipa	expected_ipa	phrase_shaw	expected_shaw	classification
false friend	NN1	RSSB	ˌfɒls ˈfrend	fɔːls frend	𐑓𐑪𐑤𐑕 𐑓𐑮𐑧𐑯𐑛	𐑓𐑷𐑤𐑕𐑓𐑮𐑧𐑯𐑛	divergent
false friend	NN1	GenAm	ˌfɒls ˈfrend	fɔːls frend	𐑓𐑪𐑤𐑕 𐑓𐑮𐑧𐑯𐑛	𐑓𐑷𐑤𐑕𐑓𐑮𐑧𐑯𐑛	divergent
false friend	NN1	RSSB	ˌfɔːls ˈfrend	fɔːls frend	𐑓𐑷𐑤𐑕 𐑓𐑮𐑧𐑯𐑛	𐑓𐑷𐑤𐑕𐑓𐑮𐑧𐑯𐑛	matches
quid pro quo	NN1	RSSB	ˌkwɪdprəʊˈkwəʊ		𐑒𐑢𐑦𐑛𐑐𐑮𐑴𐑒𐑢𐑴		unknown
quid pro quo	NN1	GenAm	ˌkwɪdproʊˈkwoʊ	kwɪd prəʊ kwoʊ	𐑒𐑢𐑦𐑛𐑐𐑮𐑴𐑒𐑢𐑴	𐑒𐑢𐑦𐑛𐑐𐑮𐑴𐑒𐑢𐑴	matches
Aaron's rod	NN1	RSSB	eərənz rɒd		𐑺𐑩𐑯𐑟 𐑮𐑪𐑛		unknown
Aaron's rod	NN1	GenAm	ˈerənz rɒd		𐑧𐑮𐑩𐑯𐑟 𐑮𐑪𐑛		unknown
Abraham man	NN1	GenAm	ˈeɪbrəˌhæm mæn	ˈeɪbrəhæm mæn	𐑱𐑚𐑮𐑩𐑣𐑨𐑥 𐑥𐑨𐑯	𐑱𐑚𐑮𐑩𐑣𐑨𐑥𐑥𐑨𐑯	matches
Abraham man	NN1	GenAm	ˈeɪbrəhəm mæn	ˈeɪbrəhæm mæn	𐑱𐑚𐑮𐑩𐑣𐑩𐑥 𐑥𐑨𐑯	𐑱𐑚𐑮𐑩𐑣𐑨𐑥𐑥𐑨𐑯	matches
mouse potato	NN1	RSSB	ˈmaʊs pəˈteɪtəʊ	maʊs pəˈteɪtəʊ	𐑥𐑬𐑕 𐑐𐑩𐑑𐑱𐑑𐑴	𐑥𐑬𐑕𐑐𐑩𐑑𐑱𐑑𐑴	matches
mouse potato	NN1	GenAm	maʊs pəʊteɪtəʊ	maʊs pəˈteɪtəʊ	𐑥𐑬𐑕 𐑐𐑴𐑑𐑱𐑑𐑴	𐑥𐑬𐑕𐑐𐑩𐑑𐑱𐑑𐑴	divergent
outer space	NN1	RSSB	aʊtəR ˈspeɪs	ˈaʊtəR speɪs	𐑬𐑑𐑼 𐑕𐑐𐑱𐑕	𐑬𐑑𐑼𐑕𐑐𐑱𐑕	matches
outer space	NN1	GenAm	ˌaʊtəR ˈspeɪs	ˈaʊtəR speɪs	𐑬𐑑𐑼 𐑕𐑐𐑱𐑕	𐑬𐑑𐑼𐑕𐑐𐑱𐑕	matches
your mileage may vary	UNC	RSSB	jəR ˈmaɪlədʒ meɪ veəri	jɔːR ˈmaɪlɪdʒ meɪ ˈveəri	𐑘𐑼 𐑥𐑲𐑤𐑩𐑡 𐑥𐑱 𐑝𐑺𐑦	𐑘𐑹𐑥𐑲𐑤𐑦𐑡𐑥𐑱𐑝𐑺𐑦	divergent
your mileage may vary	UNC	GenAm	jəR ˈmaɪlədʒ meɪ ˈveəri	jɔːR ˈmaɪlɪdʒ meɪ ˈveəri	𐑘𐑼 𐑥𐑲𐑤𐑩𐑡 𐑥𐑱 𐑝𐑺𐑦	𐑘𐑹𐑥𐑲𐑤𐑦𐑡𐑥𐑱𐑝𐑺𐑦	divergent
Achilles tendon	NN1	GenAm	əˈkɪliːz tendən	əˈkɪliːz ˈtendən	𐑩𐑒𐑦𐑤𐑰𐑟 𐑑𐑧𐑯𐑛𐑩𐑯	𐑩𐑒𐑦𐑤𐑰𐑟𐑑𐑧𐑯𐑛𐑩𐑯	matches
sub rosa	AV0	RSSB	ˌsʌb rəʊzə	sʌb ˈrəʊzə	𐑕𐑳𐑚 𐑮𐑴𐑟𐑩	𐑕𐑳𐑚𐑮𐑴𐑟𐑩	matches
sub rosa	AV0	GenAm	ˌsʌb ˈroʊzə	sʌb ˈrəʊzə	𐑕𐑳𐑚 𐑮𐑴𐑟𐑩	𐑕𐑳𐑚𐑮𐑴𐑟𐑩	matches
sub rosa	AJ0	RSSB	ˌsʌb rəʊzə	sʌb ˈrəʊzə	𐑕𐑳𐑚 𐑮𐑴𐑟𐑩	𐑕𐑳𐑚𐑮𐑴𐑟𐑩	matches
sub rosa	AJ0	GenAm	ˌsʌb ˈroʊzə	sʌb ˈrəʊzə	𐑕𐑳𐑚 𐑮𐑴𐑟𐑩	𐑕𐑳𐑚𐑮𐑴𐑟𐑩	matches
sub rosa	NN1	RSSB	ˌsʌb rəʊzə	sʌb ˈrəʊzə	𐑕𐑳𐑚 𐑮𐑴𐑟𐑩	𐑕𐑳𐑚𐑮𐑴𐑟𐑩	matches
sub rosa	NN1	GenAm	ˌsʌb ˈroʊzə	sʌb ˈrəʊzə	𐑕𐑳𐑚 𐑮𐑴𐑟𐑩	𐑕𐑳𐑚𐑮𐑴𐑟𐑩	matches
